overtone,Ddis_mean,Ddis_std_dev,Ddis_median,range_used,data_source
fundamental_dis,9.8619930545699678E-06,1.4070432341586543E-06,9.3823172866518649E-06,y,sample2.csv
3rd_dis,5.0407958051097419E-05,5.7318170351944076E-06,5.0788824945295630E-05,y,sample2.csv
5th_dis,7.2389242298415003E-05,8.3981513342526210E-06,7.4504371991248111E-05,y,sample2.csv
7th_dis,1.1404733147623998E-04,1.1482601505963532E-05,1.1721038949671740E-04,y,sample2.csv
9th_dis,1.2216520542788979E-04,1.2215587403431523E-05,1.2092521225382824E-04,y,sample2.csv
fundamental_dis,6.9785531572366173E-05,1.3909481270618553E-06,6.9533817286651861E-05,z,sample2.csv
3rd_dis,3.5293085768339062E-04,6.0538547904069344E-06,3.5474182494529523E-04,z,sample2.csv
5th_dis,3.4209712496743823E-04,1.7793509297006841E-05,3.4266137199124788E-04,z,sample2.csv
7th_dis,4.5815669604433690E-04,1.2927924201932398E-05,4.6053338949671776E-04,z,sample2.csv
9th_dis,1.2255957534906649E-04,3.4698098311830369E-05,1.2077821225382843E-04,z,sample2.csv
fundamental_dis,4.1183297869176151E-05,1.5585497427396474E-06,4.1055817286651895E-05,w,sample2.csv
3rd_dis,2.5421783465403322E-04,4.1750549243411108E-06,2.5459182494529543E-04,w,sample2.csv
5th_dis,2.4656012441843226E-04,1.3261565975157890E-05,2.4912787199124790E-04,w,sample2.csv
7th_dis,3.7579365163264007E-04,6.9165699805150798E-06,3.7607338949671807E-04,w,sample2.csv
9th_dis,2.0094926565188663E-04,1.2932449211905216E-05,1.9910171225382897E-04,w,sample2.csv
3rd_dis,5.1458246763477173E-05,4.4754059444394415E-06,5.1074824945295146E-05,,sample2.csv
3rd_dis,3.2460506220195778E-05,5.0959802240816364E-06,3.2715324945295499E-05,x,sample2.csv
