freq,time,overtone,range_used,data_source
-5.2143732593394816E+01,8.8772408490000021E+02,fundamental_freq,x,qcmi_sample
-5.2260197693482041E+01,8.9276659959999995E+02,fundamental_freq,x,qcmi_sample
-5.2036786473356187E+01,8.9779882869999994E+02,fundamental_freq,x,qcmi_sample
-5.1982716863043606E+01,9.0283879060000004E+02,fundamental_freq,x,qcmi_sample
-5.2147170042619109E+01,9.0788876050000022E+02,fundamental_freq,x,qcmi_sample
-5.2158774833194911E+01,9.1293299340000021E+02,fundamental_freq,x,qcmi_sample
-5.2021498543210328E+01,9.1798290050000003E+02,fundamental_freq,x,qcmi_sample
-5.2236403113231056E+01,9.2302561540000011E+02,fundamental_freq,x,qcmi_sample
-5.1996664242818952E+01,9.2805779480000001E+02,fundamental_freq,x,qcmi_sample
-5.2093450373038650E+01,9.3308993560000010E+02,fundamental_freq,x,qcmi_sample
-5.1941238602623343E+01,9.3812358610000001E+02,fundamental_freq,x,qcmi_sample
-5.1990603922866285E+01,9.4317168479999998E+02,fundamental_freq,x,qcmi_sample
-5.1864291773177683E+01,9.4821627560000002E+02,fundamental_freq,x,qcmi_sample
-5.1901189723052077E+01,9.5326229390000003E+02,fundamental_freq,x,qcmi_sample
-5.1768936903215945E+01,9.5829711050000003E+02,fundamental_freq,x,qcmi_sample
-5.1871266872622073E+01,9.6334563690000004E+02,fundamental_freq,x,qcmi_sample
-5.1847140192985535E+01,9.6840455910000003E+02,fundamental_freq,x,qcmi_sample
-5.1836108563467853E+01,9.7345277990000000E+02,fundamental_freq,x,qcmi_sample
-5.1755436653271317E+01,9.7849297009999998E+02,fundamental_freq,x,qcmi_sample
-5.1611221102997661E+01,9.8353125799999998E+02,fundamental_freq,x,qcmi_sample
-5.1825259773060679E+01,9.8857980360000010E+02,fundamental_freq,x,qcmi_sample
-5.1775563502684243E+01,9.9361486509999997E+02,fundamental_freq,x,qcmi_sample
-5.1956782203167677E+01,9.9864985750000005E+02,fundamental_freq,x,qcmi_sample
-5.1845187133178122E+01,1.0036898082000000E+03,fundamental_freq,x,qcmi_sample
-5.1887467392720282E+01,1.0087298221000000E+03,fundamental_freq,x,qcmi_sample
-5.1772474102675922E+01,1.0137782087000001E+03,fundamental_freq,x,qcmi_sample
-5.1682385993190110E+01,1.0188282373000000E+03,fundamental_freq,x,qcmi_sample
-5.1750950733199723E+01,1.0238680025000000E+03,fundamental_freq,x,qcmi_sample
-5.1753961012698710E+01,1.0289062441999999E+03,fundamental_freq,x,qcmi_sample
-5.1616459473036230E+01,1.0339479105000000E+03,fundamental_freq,x,qcmi_sample
-5.1791469003073871E+01,1.0389921276000000E+03,fundamental_freq,x,qcmi_sample
-5.1696903442963958E+01,1.0440225436999999E+03,fundamental_freq,x,qcmi_sample
-5.1577890283428125E+01,1.0490720219000000E+03,fundamental_freq,x,qcmi_sample
-5.1613268823362887E+01,1.0541166014000000E+03,fundamental_freq,x,qcmi_sample
-5.1499203423038125E+01,1.0591626243999999E+03,fundamental_freq,x,qcmi_sample
-5.1599922792986042E+01,1.0642134938000002E+03,fundamental_freq,x,qcmi_sample
-5.1721108823083341E+01,1.0692497533999999E+03,fundamental_freq,x,qcmi_sample
-5.1644316213205457E+01,1.0742839386999999E+03,fundamental_freq,x,qcmi_sample
-5.1661001763306558E+01,1.0793332400000002E+03,fundamental_freq,x,qcmi_sample
-5.1631255162879832E+01,1.0843817223999999E+03,fundamental_freq,x,qcmi_sample
-5.1730983022600405E+01,1.0894214442000000E+03,fundamental_freq,x,qcmi_sample
-5.1688105663284659E+01,1.0944644601000000E+03,fundamental_freq,x,qcmi_sample
-5.1752769392915070E+01,1.0995152323000000E+03,fundamental_freq,x,qcmi_sample
-5.1607348343357437E+01,1.1045582758000000E+03,fundamental_freq,x,qcmi_sample
-5.1702966582961373E+01,1.1096182180000001E+03,fundamental_freq,x,qcmi_sample
-5.1700430072844021E+01,1.1146742215000002E+03,fundamental_freq,x,qcmi_sample
-5.1643469902686775E+01,1.1197295331000000E+03,fundamental_freq,x,qcmi_sample
-5.1675465232692659E+01,1.1247695397000000E+03,fundamental_freq,x,qcmi_sample
-5.1563594073057175E+01,1.1298167917999999E+03,fundamental_freq,x,qcmi_sample
-5.1742905693128712E+01,1.1348584975000001E+03,fundamental_freq,x,qcmi_sample
-5.1516398702748120E+01,1.1398926441999999E+03,fundamental_freq,x,qcmi_sample
-5.1792439753189683E+01,1.1449459661000001E+03,fundamental_freq,x,qcmi_sample
-5.1675386512652040E+01,1.1499774156000001E+03,fundamental_freq,x,qcmi_sample
-5.1639495163224638E+01,1.1550287378999999E+03,fundamental_freq,x,qcmi_sample
