Distance_(pixels),Gray_Value
0,136.6667
1,137.6667
2,139.3333
3,141.3333
4,138.6667
5,138.6667
6,137.3333
7,136.6667
8,135.3333
9,137.3333
10,137.3333
11,135.6667
12,136.6667
13,136.3333
14,136.3333
15,136.3333
16,136.3333
17,137.6667
18,137.3333
19,138.6667
20,137.3333
21,139.3333
22,138.6667
23,136
24,137.3333
25,136.3333
26,140.3333
27,139.6667
28,137.3333
29,137.6667
30,135.6667
31,137.6667
32,137.3333
33,143.3333
34,141.3333
35,139.3333
36,136.6667
37,137.6667
38,136.6667
39,136.3333
40,137.3333
41,137.3333
42,138.3333
43,139.3333
44,137.3333
45,138.3333
46,137.6667
47,141.6667
48,138.3333
49,139.3333
50,141.3333
51,138.3333
52,134.6667
53,131.3333
54,136.3333
55,141
56,138.3333
57,139.3333
58,137.6667
59,141.6667
60,137.3333
61,136.3333
62,136.6667
63,136.6667
64,136.6667
65,137.3333
66,136.3333
67,137
68,137.3333
69,138.6667
70,136.6667
71,138.6667
72,136.3333
73,137.6667
74,138.3333
75,144.3333
76,142
77,139
78,138.6667
79,136.3333
80,137.3333
81,142.3333
82,140.6667
83,139
84,137.6667
85,138.3333
86,135.3333
87,137.3333
88,139.6667
89,139.3333
90,138.3333
91,137.6667
92,137
93,139
94,139.3333
95,142.6667
96,138.3333
97,135.6667
98,137.3333
99,138.6667
100,137.3333
101,135.3333
102,136
103,137.3333
104,138.3333
105,138.3333
106,136
107,137.6667
108,139.6667
109,140.6667
110,135.6667
111,133.3333
112,137
113,138.3333
114,137.6667
115,137.6667
116,136.6667
117,136.6667
118,137.6667
119,138.6667
120,143
121,146
122,137.6667
123,132.6667
124,135.6667
125,135.3333
126,136.6667
127,140
128,137.3333
129,132.3333
130,137.3333
131,143.3333
132,140.3333
133,139.3333
134,139.3333
135,136.3333
136,139.6667
137,138
138,138
139,137
140,137.6667
141,138.3333
142,137.3333
143,135.6667
144,137.6667
145,139
146,135.6667
147,138.6667
148,138.3333
149,139.6667
150,138
151,139.3333
152,139.6667
153,139.6667
154,138.6667
155,137.6667
156,136.6667
157,137.3333
158,137.3333
159,141.6667
160,140.6667
161,139.6667
162,136.6667
163,138.6667
164,137.6667
165,136.6667
166,135.6667
167,138.6667
168,142.3333
169,138.3333
170,137.3333
171,135.3333
172,136.3333
173,138.6667
174,137.6667
175,134.6667
176,134.6667
177,135.6667
