"Time, t (s)","Force, F (uN)"
12.023,6120.697
12.052,6104.876
12.079,6136.518
12.104,6104.876
12.129,6120.697
12.155,6120.697
12.181,6101.712
12.206,6123.861
12.232,6095.383
12.257,6108.04
12.283,6098.547
12.308,6095.383
12.333,6117.533
12.358,6092.219
12.384,6111.204
12.41,6095.383
12.435,6111.204
12.461,6085.891
12.487,6098.547
12.513,6098.547
12.538,6089.055
12.564,6101.712
12.59,6082.726
12.616,6089.055
12.641,6089.055
12.667,6095.383
12.693,6082.726
12.718,6092.219
12.744,6092.219
12.77,6095.383
12.795,6085.891
12.821,6095.383
12.847,6079.562
12.872,6082.726
12.898,6085.891
12.924,6076.398
12.95,6085.891
12.976,6082.726
13.003,6076.398
13.031,6079.562
13.059,6076.398
13.084,6066.905
13.11,6070.069
13.136,6073.234
13.161,6076.398
13.188,6079.562
13.213,6079.562
13.239,6066.905
13.265,6073.234
13.29,6085.891
13.316,6060.577
13.343,6085.891
13.369,6066.905
13.395,6070.069
13.421,6079.562
13.447,6063.741
13.473,6076.398
13.499,6060.577
13.525,6066.905
13.551,6054.248
13.577,6076.398
13.604,6060.577
13.63,6073.234
13.656,6051.084
13.682,6066.905
13.709,6051.084
13.735,6073.234
13.761,6047.92
13.788,6079.562
13.814,6044.756
13.841,6073.234
13.867,6047.92
13.894,6066.905
13.921,6051.084
13.947,6070.069
13.973,6041.591
14,6066.905
14.027,6025.77
14.056,6054.248
14.084,6060.577
14.11,6051.084
14.137,6060.577
14.163,6041.591
14.191,6060.577
14.217,6038.427
14.244,6063.741
14.27,6035.263
14.297,6060.577
14.323,6041.591
14.35,6044.756
14.377,6041.591
14.404,6047.92
14.431,6054.248
14.457,6044.756
14.484,6044.756
14.511,6041.591
14.537,6054.248
14.564,6044.756
14.591,6051.084
14.618,6032.099
14.645,6054.248
14.672,6035.263
14.699,6035.263
14.726,6038.427
14.753,6032.099
14.78,6047.92
14.807,6022.606
14.834,6044.756
14.861,6019.442
14.888,6054.248
14.915,6016.277
14.942,6025.77
14.969,6038.427
14.996,6019.442
15.023,6047.92
15.053,6038.427
15.082,6019.442
15.108,6025.77
15.135,6028.934
15.162,6041.591
15.19,6035.263
15.217,6028.934
15.244,6038.427
15.272,6016.277
