Date,Time,Relative_time,Temperature,Frequency_0,Dissipation_0,Frequency_1,Dissipation_1,Frequency_2,Dissipation_2,Frequency_3,Dissipation_3,Frequency_4,Dissipation_4,,,4959898.644
8/10/2022,8:27:32,1.745,37.02,4960814.83,0.000594499,14867732.03,0.003565887,24773973.88,0.0011911,34679985.24,0.001178733,44586634.01,0.001138693,,,
8/10/2022,8:27:32,1.747,37.02,4960814.83,0.000594499,14867732.03,0.003565887,24773973.88,0.0011911,34679985.24,0.001178733,44586634.01,0.001138693,,,
8/10/2022,8:27:33,3,37.02,4960815,0.000594433,14867768.47,0.003635673,24773976.55,0.001191273,34679988.65,0.001177813,44586639,0.00113842,,,
8/10/2022,8:27:34,4.117,37.02,4960815.24,0.000594342,14867770.79,0.003637347,24773979.09,0.001190953,34679992.15,0.001177167,44586643.71,0.0011381,,,
8/10/2022,8:27:36,5.312,37.02,4960815.42,0.000594234,14867756.41,0.00360566,24773981.62,0.001190807,34679995.66,0.001176433,44586648.46,0.00113736,,,
8/10/2022,8:27:37,6.594,37.02,4960815.62,0.000594136,14867757.7,0.00360538,24773984.02,0.00119064,34679999.08,0.00117576,44586652.97,0.00113652,,,
8/10/2022,8:27:38,7.995,37.02,4960815.86,0.000594044,14867793.27,0.003673707,24773986.74,0.001191413,34680002.38,0.00117488,44586657.76,0.00113692,,,
8/10/2022,8:27:40,9.258,37.02,4960816.09,0.000593941,14867810.7,0.003705913,24773989.13,0.001191273,34680005.63,0.001174507,44586662.38,0.001136853,,,
8/10/2022,8:27:41,10.496,37.02,4960816.37,0.000593802,14867804.38,0.00369062,24773991.67,0.001191933,34680008.75,0.001173747,44586666.68,0.00113668,,,
8/10/2022,8:27:42,11.748,37.02,4960816.69,0.000593653,14867776.42,0.003631973,24773994.18,0.001192613,34680011.76,0.001173393,44586671.04,0.001137047,,,
8/10/2022,8:27:43,13,37.02,4960817.04,0.000593506,14867778.43,0.00363354,24773996.39,0.00119286,34680014.64,0.001172973,44586675.27,0.001137173,,,
8/10/2022,8:27:45,14.506,37.02,4960817.23,0.000593356,14867778.92,0.00363242,24773998.49,0.00119316,34680017.45,0.001172473,44586678.66,0.001136187,,,
8/10/2022,8:27:45,14.507,37.02,4960817.23,0.000593356,14867778.92,0.00363242,24773998.49,0.00119316,34680017.45,0.001172473,44586678.66,0.001136187,,,
8/10/2022,8:27:46,15.504,37.02,4960817.45,0.000593198,14867759.73,0.00359176,24774000.54,0.001193587,34680020.32,0.00117224,44586682.37,0.001136233,,,
