Date,Time,Relative_time,Temperature,Frequency_0,Dissipation_0,Frequency_1,Dissipation_1,Frequency_2,Dissipation_2,Frequency_3,Dissipation_3,Frequency_4,Dissipation_4
2022-08-10,08:27:32,1.745,37.02,4960814.83,0.0005944988374206487,14867732.03,0.0035658866666666666,24773973.88,0.0011911000000000003,34679985.24,0.0011787333333333335,44586634.01,0.0011386933333333335
2022-08-10,08:27:32,1.747,37.02,4960814.83,0.0005944988374206487,14867732.03,0.0035658866666666666,24773973.88,0.0011911000000000003,34679985.24,0.0011787333333333335,44586634.01,0.0011386933333333335
2022-08-10,08:27:33,3.0,37.02,4960815.0,0.0005944334416357552,14867768.47,0.003635673333333333,24773976.55,0.0011912733333333334,34679988.65,0.0011778133333333334,44586639.0,0.0011384200000000002
2022-08-10,08:27:34,4.117,37.02,4960815.24,0.0005943423904355989,14867770.79,0.0036373466666666664,24773979.09,0.0011909533333333334,34679992.15,0.0011771666666666669,44586643.71,0.0011381000000000002
2022-08-10,08:27:36,5.312,37.02,4960815.42,0.0005942338641468498,14867756.41,0.0036056600000000005,24773981.62,0.0011908066666666667,34679995.66,0.0011764333333333335,44586648.46,0.00113736
2022-08-10,08:27:37,6.594,37.02,4960815.62,0.0005941364171158646,14867757.7,0.00360538,24773984.02,0.0011906400000000002,34679999.08,0.00117576,44586652.97,0.0011365200000000002
2022-08-10,08:27:38,7.995,37.02,4960815.86,0.0005940440530425249,14867793.27,0.0036737066666666664,24773986.74,0.0011914133333333333,34680002.38,0.0011748800000000003,44586657.76,0.0011369200000000002
2022-08-10,08:27:40,9.258,37.02,4960816.09,0.0005939413231588155,14867810.7,0.003705913333333334,24773989.13,0.0011912733333333334,34680005.63,0.0011745066666666668,44586662.38,0.0011368533333333335
2022-08-10,08:27:41,10.496,37.02,4960816.37,0.0005938020990091563,14867804.38,0.00369062,24773991.67,0.0011919333333333334,34680008.75,0.0011737466666666668,44586666.68,0.0011366800000000002
2022-08-10,08:27:42,11.748,37.02,4960816.69,0.0005936529442230117,14867776.42,0.0036319733333333333,24773994.18,0.0011926133333333335,34680011.76,0.0011733933333333336,44586671.04,0.0011370466666666668
2022-08-10,08:27:43,13.0,37.02,4960817.04,0.0005935064984231876,14867778.43,0.00363354,24773996.39,0.0011928600000000002,34680014.64,0.0011729733333333335,44586675.27,0.0011371733333333334
2022-08-10,08:27:45,14.506,37.02,4960817.23,0.0005933558140412594,14867778.92,0.00363242,24773998.49,0.00119316,34680017.45,0.0011724733333333336,44586678.66,0.001136186666666667
2022-08-10,08:27:45,14.507,37.02,4960817.23,0.0005933558140412594,14867778.92,0.00363242,24773998.49,0.00119316,34680017.45,0.0011724733333333336,44586678.66,0.001136186666666667
2022-08-10,08:27:46,15.504,37.02,4960817.45,0.0005931980050408965,14867759.73,0.0035917600000000007,24774000.54,0.001193586666666667,34680020.32,0.0011722400000000002,44586682.37,0.0011362333333333335
2022-08-10,08:27:47,16.745,37.02,4960817.54,0.0005930382895280111,14867741.63,0.0035533933333333333,24774002.28,0.0011937133333333335,34680023.14,0.00117244,44586686.24,0.0011367933333333335
2022-08-10,08:27:48,18.068,37.02,4960817.76,0.0005928484114091657,14867721.07,0.0035103400000000002,24774003.82,0.0011934133333333333,34680025.68,0.001172546666666667,44586689.9,0.0011372066666666667
2022-08-10,08:27:50,19.498,37.02,4960818.01,0.0005926766413011403,14867719.14,0.0035046066666666663,24774005.4,0.0011937333333333334,34680027.95,0.0011724266666666668,44586692.67,0.0011362333333333335
2022-08-10,08:27:51,20.632,37.02,4960818.14,0.0005925058346419783,14867726.73,0.0035180800000000007,24774006.82,0.001193906666666667,34680030.11,0.0011724066666666667,44586695.66,0.0011362600000000003
2022-08-10,08:27:54,23.254,37.02,4960818.67,0.0005921950914443658,14867740.56,0.0035428600000000005,24774009.1,0.00119366,34680033.98,0.0011722466666666668,44586700.79,0.0011357666666666668
2022-08-10,08:27:55,24.505,37.02,4960818.95,0.0005920023740079193,14867708.53,0.003477406666666667,24774010.21,0.00119362,34680035.89,0.0011723066666666669,44586703.32,0.0011360333333333336
2022-08-10,08:27:56,25.756,37.02,4960819.05,0.0005918052984954293,14867727.96,0.0035150466666666667,24774011.28,0.0011933866666666668,34680037.75,0.0011723733333333336,44586706.06,0.0011368200000000002
2022-08-10,08:27:57,27.005,37.02,4960819.28,0.0005916273478016816,14867741.12,0.003540133333333334,24774012.34,0.0011933333333333336,34680039.41,0.0011721933333333336,44586708.31,0.0011368000000000003
2022-08-10,08:27:59,28.255,37.02,4960819.42,0.0005914676135350082,14867708.75,0.003474126666666667,24774013.23,0.0011930999999999999,34680040.94,0.0011719600000000003,44586710.28,0.00113648
2022-08-10,08:28:00,29.506,37.02,4960819.7,0.00059127586192231,14867699.68,0.0034548333333333336,24774014.13,0.0011931133333333331,34680042.55,0.0011719266666666668,44586711.88,0.00113546
2022-08-10,08:28:01,30.826,37.02,4960819.77,0.0005910968594569341,14867684.76,0.003423853333333334,24774015.02,0.0011931333333333335,34680044.16,0.0011719066666666669,44586713.0,0.0011337733333333334
2022-08-10,08:28:02,32.065,37.02,4960820.03,0.0005909049417673175,14867698.6,0.0034504466666666674,24774015.95,0.0011931933333333335,34680045.66,0.0011718000000000002,44586714.43,0.0011328066666666668
2022-08-10,08:28:04,33.496,37.02,4960820.29,0.0005907361893032677,14867670.55,0.00339338,24774016.96,0.0011933466666666668,34680047.14,0.0011718133333333334,44586715.78,0.0011317333333333334
2022-08-10,08:28:05,34.752,37.02,4960820.5,0.0005904904494530087,14867701.06,0.0034534400000000003,24774017.84,0.00119348,34680048.45,0.0011713000000000001,44586717.24,0.0011308533333333334
2022-08-10,08:28:06,35.995,37.02,4960820.77,0.0005902901365863346,14867722.87,0.0034959600000000006,24774018.64,0.0011934133333333335,34680049.68,0.0011708200000000002,44586718.9,0.0011306133333333333
2022-08-10,08:28:08,37.249,37.02,4960820.99,0.0005901326131363772,14867708.9,0.003467133333333334,24774019.38,0.0011933933333333334,34680051.11,0.0011708466666666669,44586720.98,0.0011313200000000003
2022-08-10,08:28:09,38.5,37.02,4960821.31,0.0005899775359849385,14867711.38,0.0034711600000000005,24774020.12,0.0011934066666666667,34680052.61,0.001171126666666667,44586722.84,0.0011317266666666667
2022-08-10,08:28:10,39.751,37.02,4960821.71,0.00058979241035603,14867717.99,0.0034831733333333336,24774021.0,0.0011934733333333334,34680053.82,0.0011709266666666668,44586724.56,0.0011319533333333334
2022-08-10,08:28:11,41.017,37.02,4960822.09,0.0005896197030939969,14867725.8,0.0034977800000000007,24774021.84,0.0011937066666666666,34680055.08,0.0011708200000000002,44586726.04,0.00113146
2022-08-10,08:28:13,42.273,37.02,4960822.27,0.0005894387399040163,14867727.97,0.003501106666666668,24774022.58,0.0011935666666666668,34680056.5,0.0011710933333333334,44586727.72,0.0011317599999999999
2022-08-10,08:28:14,43.513,37.02,4960822.47,0.0005892981798349382,14867711.93,0.003467933333333334,24774023.27,0.00119368,34680057.86,0.0011713066666666667,44586729.26,0.0011316066666666668
2022-08-10,08:28:15,44.764,37.02,4960822.75,0.0005891145189944655,14867687.63,0.0034183333333333344,24774023.93,0.0011937266666666667,34680059.04,0.0011711866666666668,44586730.75,0.00113154
2022-08-10,08:28:16,46.019,37.02,4960823.04,0.0005889620837574204,14867688.88,0.0034198133333333334,24774024.78,0.0011941066666666669,34680060.22,0.0011710933333333334,44586732.3,0.0011315933333333336
2022-08-10,08:28:18,47.34,37.02,4960823.19,0.0005887804910137506,14867668.72,0.0033786733333333336,24774025.57,0.0011943000000000001,34680061.48,0.0011712066666666667,44586733.7,0.0011314600000000001
2022-08-10,08:28:19,48.583,37.02,4960823.49,0.0005886335342167939,14867681.68,0.0034037600000000005,24774026.38,0.00119458,34680062.81,0.0011714333333333335,44586735.39,0.0011319666666666668
2022-08-10,08:28:20,49.829,37.02,4960823.75,0.000588505204690105,14867686.17,0.0034116200000000006,24774027.36,0.0011948,34680064.06,0.0011715266666666667,44586736.92,0.0011321733333333336
2022-08-10,08:28:22,51.273,37.02,4960823.89,0.0005883661629625969,14867661.56,0.0033616466666666674,24774028.23,0.00119522,34680065.39,0.0011719466666666668,44586737.87,0.0011312266666666667
2022-08-10,08:28:23,52.516,37.02,4960824.09,0.0005882404245693485,14867680.45,0.0033985400000000002,24774029.19,0.00119544,34680066.42,0.0011718133333333334,44586739.4,0.00113148
2022-08-10,08:28:24,53.77,37.02,4960824.33,0.0005881346530072454,14867693.3,0.0034232333333333335,24774030.06,0.0011955466666666668,34680067.5,0.0011717466666666667,44586740.89,0.00113176
2022-08-10,08:28:25,55.022,37.02,4960824.47,0.0005880217125584495,14867681.51,0.003398806666666668,24774030.68,0.0011953933333333335,34680068.49,0.0011717066666666668,44586742.11,0.0011315266666666669
2022-08-10,08:28:27,56.26,37.02,4960824.76,0.0005879143259765581,14867675.49,0.0033859400000000005,24774031.48,0.0011952666666666667,34680069.53,0.0011716933333333335,44586743.14,0.0011310600000000001
2022-08-10,08:28:28,57.514,37.01,4960825.08,0.0005878217209627356,14867672.35,0.0033787933333333338,24774032.4,0.0011956000000000002,34680070.61,0.0011718333333333333,44586744.08,0.0011302866666666668
2022-08-10,08:28:29,58.771,37.01,4960825.3,0.0005875266923421932,14867679.68,0.0033924466666666675,24774033.14,0.00119566,34680071.68,0.0011718866666666668,44586745.22,0.00112988
2022-08-10,08:28:30,60.018,37.01,4960819.68,0.0005911447128786768,14867677.21,0.0033859333333333343,24774034.46,0.0011959666666666669,34680073.07,0.0011732466666666665,44586741.51,0.0011317800000000002
2022-08-10,08:28:32,61.26,37.01,4960815.06,0.0006001033724622491,14867680.86,0.0034016600000000004,24774035.75,0.0012099333333333334,34680064.37,0.0011800466666666669,44586731.18,0.001140526666666667
2022-08-10,08:28:33,62.592,37.01,4960806.27,0.0006113193105802872,14867679.35,0.003434073333333334,24774017.14,0.00124566,34680040.87,0.00121108,44586700.7,0.0011815133333333335
2022-08-10,08:28:34,63.834,37.01,4960798.69,0.0006240828843083234,14867658.52,0.003433420000000001,24774006.71,0.0012828266666666665,34680023.94,0.0012597333333333335,44586676.72,0.00124996
2022-08-10,08:28:36,65.273,37.01,4960790.29,0.0006351209744249222,14867671.87,0.0034969800000000002,24773991.67,0.0013162600000000003,34680001.1,0.00129738,44586648.82,0.0013036666666666665
2022-08-10,08:28:37,66.51,37.01,4960781.84,0.0006451204897891543,14867659.23,0.0035119066666666676,24773975.93,0.0013482866666666665,34679977.95,0.0013346400000000002,44586618.93,0.0013561533333333337
2022-08-10,08:28:38,67.767,37.01,4960773.42,0.0006535066418676947,14867671.04,0.003575986666666667,24773959.64,0.0013796799999999999,34679954.74,0.0013710533333333335,44586588.74,0.0014075333333333335
2022-08-10,08:28:39,69.02,37.01,4960765.69,0.0006606425441191843,14867660.92,0.003596073333333334,24773942.82,0.0014103666666666667,34679931.06,0.001407753333333333,44586558.67,0.001460726666666667
2022-08-10,08:28:41,70.274,37.01,4960758.6,0.000667557385366025,14867662.83,0.0036382933333333335,24773926.06,0.00143944,34679906.87,0.0014415933333333333,44586528.22,0.0015111600000000003
2022-08-10,08:28:42,71.512,37.01,4960749.09,0.000677862830263755,14867629.62,0.0036109000000000007,24773907.77,0.0014628200000000003,34679886.27,0.0014741133333333334,44586501.93,0.0015601533333333335
2022-08-10,08:28:43,72.764,37.01,4960738.88,0.0006926613667174803,14867598.38,0.003594066666666667,24773889.51,0.0014914200000000002,34679862.11,0.0015105466666666667,44586470.06,0.0016127733333333337
2022-08-10,08:28:44,74.017,37.01,4960715.67,0.0007138047777421401,14867568.26,0.003587966666666667,24773858.91,0.0015356,34679810.14,0.0015775,44586403.39,0.0017014600000000001
2022-08-10,08:28:46,75.331,37.0,4960697.99,0.0007415647230580015,14867512.77,0.003573406666666667,24773824.19,0.0016034133333333337,34679770.12,0.0016763466666666667,44586350.38,0.0018219666666666667
2022-08-10,08:28:47,76.579,37.0,4960677.39,0.0007658031292986497,14867488.11,0.0036279266666666673,24773790.2,0.001673126666666667,34679721.0,0.001769893333333333,44586288.95,0.0019276400000000004
2022-08-10,08:28:48,78.014,37.0,4960656.88,0.0007901215892527688,14867460.43,0.0036740200000000005,24773754.55,0.0017386866666666667,34679673.32,0.001858386666666667,44586229.58,0.0020324266666666667
2022-08-10,08:28:50,79.277,37.0,4960636.05,0.0008144465522926239,14867432.06,0.003718853333333333,24773718.74,0.0018045733333333337,34679622.99,0.00194168,44586164.13,0.0021389666666666667
2022-08-10,08:28:51,80.514,37.0,4960615.17,0.0008387482182192741,14867412.24,0.0037822733333333337,24773681.48,0.0018694666666666671,34679572.95,0.00202766,44586103.97,0.0022452333333333337
2022-08-10,08:28:52,81.772,37.0,4960594.48,0.0008629627768466187,14867378.12,0.0038164133333333334,24773645.66,0.00193508,34679524.77,0.002115486666666667,44586044.56,0.00235138
2022-08-10,08:28:53,83.011,37.0,4960573.43,0.0008872705809628841,14867323.66,0.00380908,24773609.51,0.0020003800000000004,34679475.3,0.0022067000000000002,44585980.04,0.0024588533333333336
2022-08-10,08:28:55,84.267,37.0,4960552.7,0.0009113830625028163,14867274.57,0.0038143800000000005,24773572.78,0.0020661333333333335,34679421.96,0.00228716,44585917.74,0.002565753333333333
2022-08-10,08:28:56,85.522,37.0,4960532.01,0.000935665388069867,14867222.58,0.0038127800000000004,24773536.83,0.002132646666666667,34679374.77,0.0023770466666666666,44585856.39,0.0026738533333333335
2022-08-10,08:28:57,86.761,37.0,4960510.95,0.0009600329086384923,14867163.96,0.0037974533333333333,24773500.15,0.002198253333333334,34679326.4,0.0024692133333333336,44585794.18,0.0027799866666666667
2022-08-10,08:28:58,88.096,37.0,4960490.13,0.0009843095846275428,14867145.22,0.0038632600000000007,24773463.14,0.002264706666666667,34679276.83,0.002556126666666667,44585732.14,0.002886066666666667
2022-08-10,08:29:00,89.328,37.0,4960469.57,0.0010086171006382133,14867114.75,0.0039038333333333342,24773427.85,0.0023323533333333337,34679227.65,0.002644566666666667,44585667.32,0.0029799266666666667
2022-08-10,08:29:01,90.585,37.0,4960448.73,0.0010329944740820303,14867048.22,0.0038737533333333333,24773393.8,0.0024019133333333335,34679178.3,0.0027322000000000006,44585602.87,0.003086
2022-08-10,08:29:02,92.015,37.0,4960428.01,0.001057410433823336,14867026.26,0.00393346,24773357.48,0.00247014,34679126.46,0.0028202599999999993,44585539.57,0.0031900933333333338
2022-08-10,08:29:04,93.275,37.0,4960407.27,0.0010816286576111678,14866991.3,0.003965926666666667,24773322.71,0.0025391000000000007,34679076.7,0.002908853333333334,44585477.33,0.003295840000000001
2022-08-10,08:29:05,94.513,37.0,4960386.93,0.0011056830574622317,14866947.44,0.003979873333333334,24773288.75,0.0026085600000000002,34679029.22,0.00299662,44585414.41,0.003399393333333334
2022-08-10,08:29:06,95.767,37.0,4960366.69,0.0011298629368671216,14866905.63,0.003999213333333334,24773252.93,0.002678513333333334,34678979.21,0.0030836,44585348.7,0.003495706666666667
2022-08-10,08:29:07,97.017,37.0,4960345.89,0.0011539810708036213,14866867.91,0.004025646666666667,24773217.0,0.0027472333333333336,34678929.41,0.003170533333333333,44585281.9,0.003597253333333334
2022-08-10,08:29:09,98.269,37.0,4960325.21,0.0011781398433118998,14866810.67,0.004016906666666667,24773177.91,0.002816246666666667,34678876.16,0.0032594199999999994,44585215.12,0.0036995933333333337
2022-08-10,08:29:10,99.519,37.0,4960304.58,0.0012022742956832116,14866752.06,0.004003213333333333,24773140.8,0.002884713333333333,34678823.52,0.003348553333333333,44585149.41,0.0037976400000000006
2022-08-10,08:29:11,100.769,37.0,4960283.73,0.0012264275055959262,14866716.89,0.004036573333333334,24773104.81,0.0029534200000000004,34678771.89,0.0034333466666666666,44585083.63,0.003896086666666667
2022-08-10,08:29:12,102.039,37.0,4960262.97,0.0012506391534321134,14866659.94,0.004027420000000001,24773067.68,0.0030223666666666666,34678716.87,0.003522780000000001,44585016.69,0.003993720000000001
2022-08-10,08:29:14,103.342,37.0,4960242.41,0.0012747229309847893,14866611.38,0.004034273333333334,24773031.04,0.0030918,34678665.21,0.0036143533333333343,44584950.33,0.004091313333333334
2022-08-10,08:29:15,104.616,37.0,4960222.18,0.001298649884724928,14866562.93,0.004039613333333333,24772995.36,0.0031594666666666673,34678615.4,0.0036981,44584886.29,0.004190993333333334
2022-08-10,08:29:16,106.036,37.0,4960202.02,0.0013227658278891384,14866518.26,0.004052726666666667,24772960.57,0.0032254933333333334,34678567.19,0.0037852133333333344,44584824.29,0.004292740000000001
2022-08-10,08:29:18,107.287,37.0,4960181.94,0.0013467900045770781,14866470.68,0.004059046666666667,24772925.66,0.0032918200000000004,34678518.0,0.00387326,44584762.4,0.0043946466666666675
2022-08-10,08:29:19,108.527,37.0,4960161.93,0.0013708050131315058,14866442.05,0.0041034,24772890.76,0.003358106666666667,34678469.67,0.00396172,44584701.56,0.004499126666666667
2022-08-10,08:29:20,109.78,37.0,4960142.0,0.0013946075897543256,14866394.94,0.004110333333333334,24772855.18,0.0034232800000000003,34678420.99,0.004044173333333334,44584639.55,0.004602806666666668
2022-08-10,08:29:21,111.035,37.01,4960121.89,0.001418650093600601,14866360.93,0.004143093333333334,24772819.71,0.003488546666666667,34678372.69,0.0041314333333333335,44584579.1,0.0047084533333333345
2022-08-10,08:29:23,112.29,37.01,4960102.09,0.0014427930723994724,14866319.27,0.0041604,24772783.7,0.0035524866666666673,34678323.59,0.004218673333333334,44584519.72,0.004814813333333333
2022-08-10,08:29:24,113.526,37.01,4960082.51,0.0014665635040087437,14866280.08,0.004182866666666667,24772747.95,0.0036166866666666663,34678275.4,0.004303993333333333,44584460.47,0.004922320000000001
2022-08-10,08:29:25,114.861,37.01,4960063.3,0.0014906260142467855,14866244.95,0.004212313333333334,24772712.82,0.003681853333333334,34678227.15,0.004389733333333334,44584399.76,0.005032033333333333
2022-08-10,08:29:26,116.091,37.01,4960043.39,0.0015145081199398635,14866178.59,0.004179733333333335,24772676.97,0.0037470800000000003,34678178.99,0.004471753333333333,44584339.94,0.00513294
2022-08-10,08:29:28,117.284,37.01,4960023.77,0.001538461290358746,14866133.99,0.004190833333333334,24772641.53,0.0038125533333333334,34678130.65,0.004553893333333334,44584279.53,0.005236513333333335
2022-08-10,08:29:28,117.54,37.01,4960023.77,0.001538461290358746,14866133.99,0.004190833333333334,24772641.53,0.0038125533333333334,34678130.65,0.004553893333333334,44584279.53,0.005236513333333335
2022-08-10,08:29:29,118.778,37.01,4960003.81,0.0015621679642348492,14866096.54,0.004216600000000001,24772605.25,0.0038759733333333336,34678082.6,0.004636266666666667,44584220.89,0.005341306666666668
2022-08-10,08:29:30,120.038,37.01,4959983.66,0.0015860120853264442,14866035.15,0.004194053333333334,24772569.37,0.003940873333333333,34678034.9,0.004717753333333334,44584164.11,0.005447373333333334
2022-08-10,08:29:32,121.277,37.01,4959965.13,0.0016116547946496559,14865980.61,0.004185480000000001,24772533.53,0.00400362,34677985.77,0.00480332,44584106.36,0.0055502600000000004
2022-08-10,08:29:33,122.528,37.01,4959944.43,0.0016345379788897064,14865924.32,0.004177866666666668,24772498.12,0.004075706666666667,34677938.73,0.004892013333333334,44584050.83,0.00565944
2022-08-10,08:29:34,123.789,37.01,4959929.47,0.0016533425636532841,14865879.38,0.0041804400000000005,24772467.33,0.0041393666666666665,34677892.14,0.004984613333333335,44583999.46,0.005769740000000001
2022-08-10,08:29:35,125.039,37.01,4959914.75,0.0016680015234709098,14865831.44,0.004169733333333334,24772427.27,0.004180553333333333,34677847.1,0.0050505866666666665,44583946.39,0.00584874
2022-08-10,08:29:37,126.279,37.01,4959903.92,0.0016801132566182874,14865788.93,0.004159633333333334,24772406.71,0.004213993333333334,34677822.26,0.005098640000000001,44583914.44,0.0059012000000000005
2022-08-10,08:29:38,127.533,37.01,4959892.66,0.001692410925315594,14865751.28,0.004143013333333333,24772388.15,0.0042485533333333336,34677798.53,0.005149000000000002,44583885.8,0.0059479400000000005
2022-08-10,08:29:39,128.782,37.01,4959881.76,0.001705227177274041,14865710.11,0.004119220000000001,24772370.17,0.004282193333333333,34677775.59,0.005197733333333334,44583856.76,0.006001960000000001
2022-08-10,08:29:40,130.036,37.01,4959870.8,0.0017187618063962088,14865671.46,0.004100686666666667,24772353.36,0.0043190599999999996,34677753.43,0.0052483,44583828.74,0.006056813333333334
